feature,xgb_imp,lr_imp,rf_imp,lgbm_imp,mean_imp,models_below,prune_candidate
losses_diff,0.016716417910447756,0.017313432835820864,0.010746268656716452,0.024776119402985085,0.01738805970149254,0,False
str_def_diff,0.012537313432835817,0.018208955223880552,0.019701492537313448,0.006417910447761211,0.014216417910447756,0,False
sapm_diff,0.012686567164179107,0.01820895522388054,0.01149253731343286,0.01253731343283584,0.013731343283582087,0,False
td_avg_diff,0.009999999999999986,0.008208955223880543,0.01044776119402988,0.015074626865671658,0.010932835820895518,0,False
wins_diff,0.004776119402985046,0.008208955223880543,0.01000000000000002,0.008656716417910448,0.007910447761194015,0,False
splm_diff,0.0008955223880596774,0.013731343283582043,0.0019402985074627344,0.010298507462686601,0.006716417910447765,1,False
ko_vuln_diff,-0.0013432835820895495,0.011791044776119353,0.003582089552238843,0.006567164179104501,0.0051492537313432875,1,False
elo_diff,-0.0013432835820895606,0.015970149253731292,0.008656716417910482,-0.005074626865671639,0.004552238805970143,2,False
ewma_td_acc_diff,0.0025373134328358416,0.0034328358208954857,0.005970149253731349,0.0023880597014925508,0.003582089552238807,0,False
wrestler_vs_striker,0.005820895522388047,-0.00029850746268660354,0.007910447761194062,0.00044776119402986094,0.0034701492537313416,2,False
win_streak_diff,-0.0010447761194030015,0.012985074626865633,-0.0040298507462686265,0.0038805970149253686,0.0029477611940298435,2,False
reach_diff,0.0005970149253731183,0.009402985074626825,0.004328358208955241,-0.0031343283582089486,0.0027985074626865588,2,False
southpaw_adv_diff,0.0,0.007014925373134284,0.0032835820895522616,0.0,0.0025746268656716364,2,False
leg_acc_diff,0.0010447761194029791,0.0007462686567163534,0.0032835820895522503,0.0052238805970149516,0.0025746268656716333,1,False
ground_acc_diff,0.001044776119402968,-0.001940298507462701,0.00850746268656719,0.0016417910447761308,0.002313432835820897,1,False
ewma_str_acc_diff,0.001044776119402968,0.003731343283582045,0.002686567164179132,0.001044776119402968,0.002126865671641778,0,False
td_acc_slope_diff,0.002985074626865669,-0.00014925373134329069,0.005373134328358242,-0.0008955223880596885,0.001828358208955233,2,False
height_diff,-0.001940298507462701,0.007611940298507402,0.006716417910447803,-0.005223880597014919,0.001791044776119396,2,False
dec_rate_diff,0.003731343283582078,0.0011940298507462476,-0.001044776119402946,0.0028358208955224008,0.001679104477611945,1,False
head_acc_diff,-2.2204460492503132e-17,0.005970149253731294,0.0005970149253731627,0.0,0.0016417910447761085,3,False
td_acc_diff,-0.0011940298507462587,0.003582089552238754,0.007313432835820932,-0.00343283582089553,0.0015671641791044743,2,False
sig_str_acc_diff,-0.0016417910447761419,0.002835820895522334,0.003582089552238843,0.0014925373134328512,0.0015671641791044715,1,False
sos_diff,-0.0013432835820895495,-0.0011940298507463031,0.004029850746268692,0.004328358208955241,0.0014552238805970203,2,False
grapple_ratio_diff,0.0004477611940298276,0.002537313432835786,0.004029850746268671,-0.0013432835820895383,0.0014179104477611863,2,False
loss_streak_diff,0.0007462686567164089,0.002238805970149205,0.0029850746268657025,-0.0005970149253731183,0.0013432835820895495,2,False
sub_avg_diff,-0.0005970149253731516,-0.0017910447761194325,0.006567164179104512,0.0010447761194029904,0.0013059701492537296,2,False
sub_rate_diff,0.00029850746268657026,-0.00044776119402989423,0.00731343283582091,-0.0020895522388059582,0.001268656716417907,3,False
landed_clinch_per_diff,0.0010447761194029904,-0.004626865671641822,0.005671641791044823,0.001940298507462701,0.001007462686567173,1,False
landed_leg_per_diff,-0.0005970149253731293,0.0004477611940298165,0.004477611940298554,-0.0019402985074626789,0.0005970149253731406,3,True
body_acc_diff,-0.0013432835820895606,-0.0014925373134328512,0.005970149253731372,-0.0007462686567163979,0.0005970149253731406,3,True
div_womens_flyweight,0.00029850746268655914,0.0,0.0019402985074627455,0.0,0.0005597014925373262,3,True
div_middleweight,0.0,0.0,0.0022388059701493046,0.0,0.0005597014925373262,3,True
div_heavyweight,0.0,0.0,0.0020895522388060138,0.0,0.0005223880597015034,3,True
landed_body_per_diff,0.0010447761194029791,-0.0007462686567164423,0.0022388059701493046,-0.0005970149253731293,0.00048507462686567796,2,False
title_fight,0.0,0.0,0.0017910447761194438,0.0,0.00044776119402986094,3,True
striker_vs_wrestler,-0.0005970149253731293,0.0007462686567163979,0.0031343283582089933,-0.0014925373134328291,0.0004477611940298581,3,True
div_womens_bantamweight,0.0013432835820895272,0.0,-0.00014925373134325737,0.0,0.00029850746268656744,3,True
ko_rate_diff,-0.0007462686567163979,-0.0005970149253731516,0.002835820895522434,-0.0007462686567163979,0.0001865671641791217,3,True
div_flyweight,0.0,0.0,0.00029850746268658137,0.0,7.462686567164534e-05,4,True
landed_ground_per_diff,-0.004477611940298531,-0.0007462686567164534,0.007910447761194062,-0.00238805970149254,7.462686567163437e-05,3,True
div_bantamweight,0.0,0.0,0.00014925373134331288,0.0,3.731343283582822e-05,4,True
both_southpaw,0.0,0.0,0.00014925373134330177,0.0,3.731343283582544e-05,4,True
str_acc_var_diff,0.0005970149253731405,-0.0011940298507463031,0.008059701492537352,-0.007313432835820888,3.7313432835825314e-05,3,True
div_featherweight,0.00014925373134327957,0.0,1.1102230246251566e-17,0.0,3.731343283582267e-05,4,True
div_light_heavyweight,0.0004477611940298387,0.0,-0.00029850746268655914,0.0,3.731343283581989e-05,4,True
div_womens_strawweight,0.0,0.0,2.2204460492503132e-17,0.0,5.551115123125783e-18,4,True
age_diff,0.0,0.0,0.0,0.0,0.0,4,True
date_diff,0.0,0.0,0.0,0.0,0.0,4,True
div_womens_featherweight,0.0,0.0,0.0,0.0,0.0,4,True
outcome_diff,0.0,0.0,0.0,0.0,0.0,4,True
dist_acc_diff,-0.0005970149253731293,0.001044776119402957,0.0010447761194030236,-0.0017910447761193993,-7.462686567163702e-05,2,False
div_lightweight,0.00029850746268655914,0.0,-0.001044776119402957,0.0,-0.00018656716417909947,4,True
div_welterweight,-0.0014925373134327957,0.0,0.00029850746268659243,0.0,-0.0002985074626865508,4,True
clinch_acc_diff,0.0013432835820895495,0.00029850746268652586,0.0017910447761194214,-0.005671641791044757,-0.0005597014925373151,2,False
days_since_last_diff,-0.0005970149253731405,-0.0014925373134328846,0.0008955223880597219,-0.0016417910447761087,-0.0007089552238806029,4,True
landed_head_per_diff,-0.005671641791044779,0.0016417910447760753,0.0022388059701492825,-0.0025373134328358195,-0.0010820895522388103,2,False
td_def_diff,-0.0025373134328358304,-0.0035820895522388208,0.00850746268656719,-0.007014925373134306,-0.0011567164179104418,3,True
total_str_acc_diff,0.00014925373134326846,-0.0011940298507463142,-0.005522388059701478,0.0013432835820895606,-0.0013059701492537407,3,True
str_acc_slope_diff,1.1102230246251566e-17,-0.000895522388059744,-0.0011940298507462476,-0.0035820895522387986,-0.001417910447761195,4,True
recent_win_rate_diff,-0.010298507462686568,0.0020895522388059253,0.005522388059701511,-0.003731343283582089,-0.0016044776119403055,2,False
splm_slope_diff,-0.0014925373134328402,-0.0008955223880597329,0.0028358208955224116,-0.008656716417910427,-0.002052238805970147,3,True
recent_finish_rate_diff,-0.003432835820895519,-0.0010447761194030125,-0.0005970149253731072,-0.0038805970149253686,-0.0022388059701492517,4,True
landed_dist_per_diff,-0.0019402985074626789,0.0005970149253731072,-0.0067164179104477586,-0.0046268656716417665,-0.003171641791044774,4,True
